competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
1073,2021,Championnats de qualification panaméricains,Senior,COSTA RICA,2021-05-01,2021-05-01,Foil,Womens,America/Costa_Rica,https://fie.org/competitions/2021/1073,2021-1073,
1067,2021,Championnats de qualification Asie-Océanie,Senior,UZBEKISTAN,2021-04-25,2021-04-25,Foil,Womens,Asia/Tashkent,https://fie.org/competitions/2021/1067,2021-1067,
1079,2021,Championnats de qualification européens,Senior,SPAIN,2021-04-25,2021-04-25,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2021/1079,2021-1079,
237,2021,Championnats du monde juniors-cadets,Cadet,EGYPT,2021-04-07,2021-04-07,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2021/237,2021-237,
129,2020,Coupe du Monde,Senior,RUSSIA,2020-02-21,2020-02-22,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2020/129,2020-129,
458,2020,Grand Prix,Senior,ITALY,2020-02-07,2020-02-09,Foil,Womens,Europe/Rome,https://fie.org/competitions/2020/458,2020-458,
127,2020,Coupe du Monde,Senior,POLAND,2020-01-10,2020-01-11,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2020/127,2020-127,
118,2020,Coupe du Monde,Senior,FRANCE,2019-12-13,2019-12-14,Foil,Womens,Europe/Paris,https://fie.org/competitions/2020/118,2020-118,
125,2020,Coupe du monde,Senior,EGYPT,2019-11-22,2019-11-23,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2020/125,2020-125,
1385,2020,Tournoi satellite,Senior,SPAIN,2019-10-26,2019-10-26,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2020/1385,2020-1385,
1377,2020,Tournoi Satelite,Senior,TURKEY,2019-10-19,2019-10-19,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2020/1377,2020-1377,
1105,2019,Championnats du monde vétérans 50-59,Veterans,EGYPT,2019-10-07,2019-10-07,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2019/1105,2019-1105,
1359,2019,Championnats du monde Vétérans 60-69,Veterans,EGYPT,2019-10-07,2019-10-07,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2019/1359,2019-1359,
1360,2019,Championnats du monde Vétérans 70+,Veterans,EGYPT,2019-10-07,2019-10-07,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2019/1360,2019-1360,
1356,2020,"Tournoi Satellite, Trekanten International",Senior,DENMARK,2019-10-06,2019-10-06,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2020/1356,2020-1356,
1281,2020,Tournoi Satellite,Senior,MEXICO,2019-09-29,2019-09-29,Foil,Womens,America/Mexico_City,https://fie.org/competitions/2020/1281,2020-1281,
1230,2020,Tournoi satellite,Senior,ROMANIA,2019-09-22,2019-09-22,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2020/1230,2020-1230,
1218,2020,Tournoi satellite,Senior,SLOVAKIA,2019-09-14,2019-09-14,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2020/1218,2020-1218,
1093,2019,2019 Summer Universiades,Senior,ITALY,2019-07-04,2019-07-09,Foil,Womens,Europe/Rome,https://fie.org/competitions/2019/1093,2019-1093,
740,2019,Championnats d'Europe,Senior,GERMANY,2019-06-18,2019-06-18,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2019/740,2019-740,
1014,2019,Championnats Asiatiques,Senior,JAPAN,2019-06-15,2019-06-15,Foil,Womens,Asia/Tokyo,https://fie.org/competitions/2019/1014,2019-1014,
457,2019,Grand Prix,Senior,CHINA,2019-05-17,2019-05-19,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2019/457,2019-457,
237,2019,Championnats du monde juniors-cadets,Cadet,POLAND,2019-04-10,2019-04-10,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2019/237,2019-237,
121,2019,2019 Absolute Fencing Gear FIE Grand Prix Anaheim,Senior,USA,2019-03-16,2019-03-17,Foil,Womens,America/Los_Angeles,https://fie.org/competitions/2019/121,2019-121,
129,2019,Coupe du Monde,Senior,EGYPT,2019-03-01,2019-03-02,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2019/129,2019-129,
127,2019,Coupe du Monde,Senior,FRANCE,2019-01-25,2019-01-26,Foil,Womens,Europe/Paris,https://fie.org/competitions/2019/127,2019-127,
118,2019,Coupe du Monde,Senior,POLAND,2019-01-11,2019-01-12,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2019/118,2019-118,
1385,2019,Tournoi satellite,Senior,SPAIN,2018-10-27,2018-10-27,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2019/1385,2019-1385,
1377,2019,Tournoi Satelite,Senior,TURKEY,2018-10-20,2018-10-21,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2019/1377,2019-1377,
1359,2018,Championnats du monde Vétérans 60-69,Veterans,ITALY,2018-10-11,2018-10-11,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/1359,2018-1359,
1360,2018,Championnats du monde Vétérans 70+,Veterans,ITALY,2018-10-11,2018-10-11,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/1360,2018-1360,
